ctrc,remetente,destinatario,destino,peso,frete,agendado_em,agendado_para,agendado_para_data,status_raw,status_ace,alerta_sem_saida
GYN065013-7,EQUILIBRIUM DIST DE MED EIRELL,ARMARINHOS FERNANDO LTDA,SPOP SP SAO PAULO,"116,48","552,28",29/07/26,03/08/26 08:00,03/08,SAIDA PARA ENTREGA,em_rota,0
GYN065148-6,COTY BRASIL COMERCIO S.A,COML.ESPERANCA ATACADO DISTR.,SPOP SP ARUJA,"12.989,02","7.109,11",28/07/26,04/08/26 07:00,04/08,ENTREGA AGENDADA,parado,0
VIX008364-0,BEAUTY HUB ATACADO LTDA,AMAZON SERVICOS DE VAREJO DO BRASIL LTDA,SPOP SP CAJAMAR,"26,52","699,83",23/07/26,04/08/26 08:00,04/08,CHEGADA EM UNIDADE,parado,0
VIX008382-8,APICE COSMETICS SA,RAIA DROGASIL SA,SPOP SP GUARULHOS,"531,96","1.087,95",03/08/26,04/08/26 09:00,04/08,ENTREGA AGENDADA,parado,0
VIX008461-1,BEAUTY HUB ATACADO LTDA,AMAZON SERVICOS DE VAREJO DO BRASIL LTDA,SPOP SP CAJAMAR,"25,58","577,55",23/07/26,04/08/26 08:00,04/08,CHEGADA EM UNIDADE,parado,0
DCX087219-9,YINS BRASIL COMERCIO INTERNACI,KOPELL DISTRIBUICAO E LOGISTICA LTDA,SPOP SP SAO PAULO,"184,00","463,10",03/08/26,05/08/26 08:00,05/08,ENTREGA AGENDADA,parado,0
VIX008558-8,APICE COSMETICS SA,AMAZON SERVICOS DE VAREJO DO BRASIL LTDA,SPOP SP CAJAMAR,"944,54","1.596,01",28/07/26,05/08/26 13:30,05/08,ENTREGA AGENDADA,parado,0
GYN064670-9,EQUILIBRIUM DIST DE MED EIRELL,TUBARAO EQUIPAMENTOS DE PROTECAO INDIVIDUAL LTDA,SPOP SP SAO PAULO,"232,20","407,56",28/07/26,06/08/26 07:00,06/08,ENTREGA AGENDADA,parado,0
GYN064981-3,EQUILIBRIUM DIST DE MED EIRELL,TUBARAO EQUIPAMENTOS DE PROTECAO INDIVIDUAL LTDA,SPOP SP SAO PAULO,"174,00","288,10",28/07/26,06/08/26 07:00,06/08,ENTREGA AGENDADA,parado,0
GYN065070-6,EQUILIBRIUM DIST DE MED EIRELL,TUBARAO EQUIPAMENTOS DE PROTECAO INDIVIDUAL LTDA,SPOP SP SAO PAULO,"1.331,24","1.819,01",28/07/26,06/08/26 07:00,06/08,ENTREGA AGENDADA,parado,0
GYN065147-8,COTY BRASIL COMERCIO S.A,SENDAS DISTRIBUIDORA S/A,SPOP SP CAJAMAR,"7.088,17","3.729,72",28/07/26,07/08/26 07:00,07/08,ENTREGA AGENDADA,parado,0
GYN065183-4,COTY BRASIL COMERCIO S.A,SENDAS DISTRIBUIDORA S/A,SPOP SP CAJAMAR,"4.668,80","4.701,06",28/07/26,07/08/26 07:00,07/08,CHEGADA EM UNIDADE,parado,0
GYN065308-0,COTY BRASIL COMERCIO S.A,AMERICANAS SA,SPOP SP ITAPEVI,"18.474,75","9.655,06",01/08/26,07/08/26 07:00,07/08,ENTREGA AGENDADA,parado,0
VIX008540-5,APICE COSMETICS SA,VEMAC COMERCIO E SERVICOS LTDA,SPOP SP SAO PAULO,"4.856,40","4.993,38",28/07/26,31/07/26 08:00,31/07,ENTREGA REALIZADA,concluido,0
