cliente,dias_max,qtd,frete,peso
CASA DO PICA PAU LTDA,185,1,149.24,44.34
ESSITY DO BRASIL INDUSTRIA E C,157,7,11940.650000000001,20603.989999999998
EQUILIBRIUM DIST DE MED EIRELL,135,8,1580.58,1429.4299999999998
DECOR COLORS TINTAS LTDA,129,10,2479.33,2166.044
MANTIQUEIRA DISTRIBUIDORA DE P,123,1,2961.18,22224.056
EVER GREEN IND E COM LTDA,108,5,18365.62,17265.8
ILOG TRANSPORTES LTDA,106,2,8273.0,7176.095
COTY BRASIL COMERCIO S.A,67,18,15637.240000000003,31612.924
SP SUMARE PRODUTOS DE HIGIENE,63,14,4530.010000000001,5030.290000000001
SOFAPE FABRICANTE DE FILTROS S,43,4,1043.83,574.9929999999999
