ctrc,cliente,dias_atraso,cidade_uf,ultima_ocorrencia
GYN059644-2,CASA DO PICA PAU LTDA,185,BRAGANCA PAULISTA/SP,CHEGADA NA UNIDADE
VIX006059-3,ESSITY DO BRASIL INDUSTRIA E C,157,JARINU/SP,AGUARDANDO AGENDAMENTO DO CLIENTE
GYN061042-9,EQUILIBRIUM DIST DE MED EIRELL,135,SOCORRO/SP,ENTREGA AGENDADA
SPO309655-6,DECOR COLORS TINTAS LTDA,129,SALTO/SP,ENTREGA PREJUDICADA PELO HORARIO
SPO310909-7,MANTIQUEIRA DISTRIBUIDORA DE P,123,SAO JOAO DA BOA VISTA/SP,LIBERADO PELO CR
SPO311765-1,ESSITY DO BRASIL INDUSTRIA E C,109,JARINU/SP,FALTA COM BUSCA / RECONFERENCIA
SPO311764-2,ESSITY DO BRASIL INDUSTRIA E C,109,JARINU/SP,FALTA COM BUSCA / RECONFERENCIA
SPO311559-3,EQUILIBRIUM DIST DE MED EIRELL,109,SOCORRO/SP,IMAGENS OPERACIONAIS CARGA & DESCARGA / OUTROS
SPO300602-6,EVER GREEN IND E COM LTDA,108,SAO BERNARDO DO CAMPO/SP,IMAGENS OPERACIONAIS CARGA & DESCARGA / OUTROS
SPO312713-3,ILOG TRANSPORTES LTDA,106,SALTO/SP,DOCUMENTO DE TRANSPORTE EMITIDO
